0.000000000000000000e+00	1.754375703136485720e+00	9.761449241152964085e-01
1.000000000000000000e+00	1.675763331436494363e+00	9.584646467616944054e-01
2.000000000000000000e+00	1.590810091624177636e+00	8.952729073360389256e-01
3.000000000000000000e+00	1.373363559133298217e+00	5.010858622445433230e-01
4.000000000000000000e+00	1.686605176458504163e+00	6.245053556037357678e-01
5.000000000000000000e+00	1.681063532753442891e+00	9.355136257299272451e-01
6.000000000000000000e+00	1.620550520208132950e+00	9.992629379944317769e-01
7.000000000000000000e+00	1.575348592171818440e+00	9.348164548995159251e-01
8.000000000000000000e+00	1.502036853838340624e+00	8.043673743477066651e-01
9.000000000000000000e+00	1.667749161889270360e+00	8.000750575841908407e-01
1.000000000000000000e+01	1.326854912579527257e+00	5.439436192919198110e-01
1.100000000000000000e+01	1.510442204220584062e+00	8.217135887577773357e-01
1.200000000000000000e+01	1.637810844300122248e+00	8.736190085224729840e-01
1.300000000000000000e+01	1.500408536657995784e+00	8.264453717631624619e-01
1.400000000000000000e+01	1.462184111493361360e+00	6.509218608181817078e-01
1.500000000000000000e+01	1.591546024712837237e+00	7.297721126583591733e-01
1.600000000000000000e+01	1.496464659920232920e+00	6.181557005082732870e-01
1.700000000000000000e+01	1.702261998161937795e+00	8.561143165032664148e-01
1.800000000000000000e+01	1.645367525974507972e+00	8.698454113076525829e-01
1.900000000000000000e+01	1.622720010670641644e+00	9.399126655926005602e-01
2.000000000000000000e+01	1.614339666990944666e+00	8.968975909388576806e-01
2.100000000000000000e+01	1.660483237868418227e+00	8.617256014456325941e-01
2.200000000000000000e+01	1.475353369148773464e+00	5.493714027925937771e-01
2.300000000000000000e+01	1.696143330227108503e+00	8.426910878868660859e-01
2.400000000000000000e+01	1.608923006708121717e+00	7.980131484027097599e-01
2.500000000000000000e+01	1.594662691028633450e+00	7.089179937214454830e-01
2.600000000000000000e+01	1.570889693968632539e+00	8.210038236346312024e-01
2.700000000000000000e+01	1.586730724685483152e+00	6.936520582901076759e-01
2.800000000000000000e+01	1.596394550042875782e+00	9.727870657953923139e-01
2.900000000000000000e+01	1.810806551384061436e+00	1.029930457622968420e+00
3.000000000000000000e+01	1.723094807302083087e+00	8.920615525441615290e-01
3.100000000000000000e+01	1.512187485432021194e+00	8.432105021869649164e-01
3.200000000000000000e+01	1.691142113263008895e+00	6.942755191947864724e-01
3.300000000000000000e+01	1.717367011826467893e+00	9.554137459512447306e-01
3.400000000000000000e+01	1.562037028103608671e+00	7.309330457723820507e-01
3.500000000000000000e+01	1.505656801025583302e+00	8.194049282286534064e-01
3.600000000000000000e+01	1.505992991110337353e+00	9.477626520116058106e-01
3.700000000000000000e+01	1.560924583259723164e+00	7.900517913889578692e-01
3.800000000000000000e+01	1.679527857650317424e+00	9.969112231464688501e-01
3.900000000000000000e+01	1.598669425471593186e+00	7.141453164664526287e-01
4.000000000000000000e+01	1.706553677126387836e+00	9.625489653787613342e-01
4.100000000000000000e+01	1.417172092494659807e+00	6.939494536778268996e-01
