# t, x, sigma
0.4000000,12.6083601,0.3290139
0.6421053,7.9983487,0.2285806
0.8842105,6.1987431,0.3050910
1.1263158,5.1178511,0.2761568
1.3684211,4.5460871,0.2808894
1.6105263,4.5007305,0.1821994
1.8526316,4.3437537,0.2978192
2.0947368,4.5455007,0.2955339
2.3368421,4.9696690,0.2131582
2.5789474,5.3155673,0.1943762
2.8210526,5.9499647,0.3898855
3.0631579,6.3198827,0.1851989
3.3052632,6.9863962,0.3091957
3.5473684,7.6922714,0.3268960
3.7894737,8.4798059,0.3226663
4.0315789,9.2837716,0.1788238
4.2736842,10.2258616,0.3165271
4.5157895,11.2624630,0.2541615
4.7578947,12.4279132,0.3070207
5.0000000,13.5574176,0.2610324
